,case_number,occured_on,neighborhood,hour of day,year,month,motivation,latitude,longitude
242,24009841,2024-03-09 13:06:15,Barrio Logan,13,2024,3,Race,32.70029638928246,-117.142488190584
243,24010672,2024-03-15 18:57:00,Linda Vista,18,2024,3,Sexual Orientation,32.78959823746256,-117.16695873731514
244,24011373,2024-03-20 13:16:00,Carmel Valley,13,2024,3,Race,32.93470376026483,-117.23711186584758
245,24011373,2024-03-20 13:16:00,Carmel Valley,13,2024,3,Race,32.93470376026483,-117.23711186584758
246,24011464,2024-03-21 03:03:11,Pacific Beach,3,2024,3,Gender,32.79467223364233,-117.25490857823752
247,24012341,2024-03-26 18:30:01,North Park,18,2024,3,Religion,32.75917029550577,-117.1389085075281
248,24012597,2024-03-29 14:45:00,University City,14,2024,3,Religion,32.86555121259568,-117.22823383011628
249,24014427,2024-04-10 20:30:00,Grantville,20,2024,4,Race,32.78010841714877,-117.09731605088818
250,24606487,2024-04-04 03:30:00,Golden Hill,3,2024,4,Religion,32.71476182188149,-117.14661451624
251,24019048,2024-05-14 00:30:04,Hillcrest,0,2024,5,Sexual Orientation,32.7434745301183,-117.15126971961246
252,24019275,2024-05-13 16:35:00,La Jolla,16,2024,5,Religion,32.85051213885229,-117.25326893196576
253,24020859,2024-05-26 06:42:19,Core-Columbia,6,2024,5,Gender,32.717263238428835,-117.16878309859337
254,24021172,2024-05-28 09:23:48,East Village,9,2024,5,Race,32.70527853461204,-117.15027401194044
255,24022523,2024-05-21 21:00:00,Core-Columbia,21,2024,5,Sexual Orientation,32.71575412389614,-117.16022518268004
